Time,depression
01/01/2004,85
01/02/2004,95
01/03/2004,100
01/04/2004,97
01/05/2004,88
01/06/2004,71
01/07/2004,67
01/08/2004,69
01/09/2004,81
01/10/2004,86
01/11/2004,88
01/12/2004,79
01/01/2005,78
01/02/2005,88
01/03/2005,90
01/04/2005,95
01/05/2005,88
01/06/2005,66
01/07/2005,64
01/08/2005,61
01/09/2005,69
01/10/2005,88
01/11/2005,85
01/12/2005,75
01/01/2006,81
01/02/2006,79
01/03/2006,85
01/04/2006,82
01/05/2006,76
01/06/2006,58
01/07/2006,54
01/08/2006,56
01/09/2006,64
01/10/2006,71
01/11/2006,67
01/12/2006,57
01/01/2007,64
01/02/2007,66
01/03/2007,66
01/04/2007,62
01/05/2007,61
01/06/2007,50
01/07/2007,50
01/08/2007,47
01/09/2007,56
01/10/2007,59
01/11/2007,67
01/12/2007,52
01/01/2008,59
01/02/2008,60
01/03/2008,60
01/04/2008,61
01/05/2008,56
01/06/2008,46
01/07/2008,45
01/08/2008,44
01/09/2008,61
01/10/2008,73
01/11/2008,61
01/12/2008,57
01/01/2009,57
01/02/2009,67
01/03/2009,63
01/04/2009,60
01/05/2009,54
01/06/2009,44
01/07/2009,44
01/08/2009,45
01/09/2009,48
01/10/2009,53
01/11/2009,60
01/12/2009,49
01/01/2010,57
01/02/2010,57
01/03/2010,55
01/04/2010,56
01/05/2010,53
01/06/2010,45
01/07/2010,45
01/08/2010,44
01/09/2010,48
01/10/2010,51
01/11/2010,52
01/12/2010,46
01/01/2011,54
01/02/2011,53
01/03/2011,54
01/04/2011,56
01/05/2011,51
01/06/2011,44
01/07/2011,42
01/08/2011,45
01/09/2011,46
01/10/2011,52
01/11/2011,52
01/12/2011,45
01/01/2012,55
01/02/2012,54
01/03/2012,52
01/04/2012,54
01/05/2012,51
01/06/2012,40
01/07/2012,45
01/08/2012,44
01/09/2012,48
01/10/2012,52
01/11/2012,52
01/12/2012,46
01/01/2013,52
01/02/2013,52
01/03/2013,52
01/04/2013,54
01/05/2013,50
01/06/2013,44
01/07/2013,44
01/08/2013,42
01/09/2013,45
01/10/2013,50
01/11/2013,51
01/12/2013,47
01/01/2014,51
01/02/2014,55
01/03/2014,55
01/04/2014,55
01/05/2014,54
01/06/2014,42
01/07/2014,42
01/08/2014,58
01/09/2014,53
01/10/2014,53
01/11/2014,54
01/12/2014,50
01/01/2015,55
01/02/2015,55
01/03/2015,64
01/04/2015,57
01/05/2015,53
01/06/2015,47
01/07/2015,45
01/08/2015,47
01/09/2015,52
01/10/2015,57
01/11/2015,57
01/12/2015,54
01/01/2016,54
01/02/2016,58
01/03/2016,59
01/04/2016,60
01/05/2016,57
01/06/2016,46
01/07/2016,44
01/08/2016,47
01/09/2016,54
01/10/2016,57
01/11/2016,57
01/12/2016,54
01/01/2017,55
01/02/2017,60
01/03/2017,62
01/04/2017,61
01/05/2017,57
01/06/2017,49
01/07/2017,48
01/08/2017,55
01/09/2017,54
01/10/2017,61
01/11/2017,64
01/12/2017,56
01/01/2018,61
01/02/2018,62
01/03/2018,65
01/04/2018,62
01/05/2018,57
01/06/2018,57
01/07/2018,51
01/08/2018,52
01/09/2018,55
01/10/2018,62
01/11/2018,64
01/12/2018,57
01/01/2019,61
01/02/2019,66
01/03/2019,61
01/04/2019,59
01/05/2019,59
01/06/2019,54
01/07/2019,51
01/08/2019,51
01/09/2019,59
01/10/2019,62
01/11/2019,61
01/12/2019,55
01/01/2020,55
01/02/2020,63
01/03/2020,59
01/04/2020,65
01/05/2020,58
01/06/2020,58
01/07/2020,53
01/08/2020,53
01/09/2020,58
01/10/2020,54
01/11/2020,52
01/12/2020,50
01/01/2021,54
01/02/2021,54
01/03/2021,54
01/04/2021,51
01/05/2021,53
01/06/2021,49
01/07/2021,45
01/08/2021,47
01/09/2021,50
01/10/2021,50
01/11/2021,51
01/12/2021,47
01/01/2022,55
01/02/2022,56
01/03/2022,59
01/04/2022,61
01/05/2022,56
01/06/2022,49
01/07/2022,45
01/08/2022,46
01/09/2022,50
01/10/2022,53
01/11/2022,52
01/12/2022,48
01/01/2023,52
01/02/2023,56
01/03/2023,55
01/04/2023,51
01/05/2023,49
01/06/2023,44
01/07/2023,41
01/08/2023,41
01/09/2023,46
01/10/2023,46
01/11/2023,48
01/12/2023,43
01/01/2024,47
01/02/2024,51
01/03/2024,51
01/04/2024,50
01/05/2024,50
01/06/2024,40
01/07/2024,39
01/08/2024,40
01/09/2024,44
01/10/2024,47
01/11/2024,47
01/12/2024,43
01/01/2025,45
01/02/2025,49
01/03/2025,51
01/04/2025,48
01/05/2025,43
01/06/2025,42
01/07/2025,43
01/08/2025,53
01/09/2025,62
01/10/2025,60
01/11/2025,65
01/12/2025,57
01/01/2026,60
01/02/2026,80
01/03/2026,61
