Time,insomnia
01/01/2004,51
01/02/2004,48
01/03/2004,49
01/04/2004,47
01/05/2004,44
01/06/2004,39
01/07/2004,43
01/08/2004,42
01/09/2004,41
01/10/2004,44
01/11/2004,42
01/12/2004,45
01/01/2005,53
01/02/2005,50
01/03/2005,47
01/04/2005,50
01/05/2005,44
01/06/2005,46
01/07/2005,48
01/08/2005,50
01/09/2005,47
01/10/2005,49
01/11/2005,45
01/12/2005,44
01/01/2006,47
01/02/2006,48
01/03/2006,47
01/04/2006,45
01/05/2006,41
01/06/2006,38
01/07/2006,40
01/08/2006,39
01/09/2006,40
01/10/2006,45
01/11/2006,41
01/12/2006,41
01/01/2007,44
01/02/2007,42
01/03/2007,40
01/04/2007,38
01/05/2007,35
01/06/2007,35
01/07/2007,42
01/08/2007,42
01/09/2007,41
01/10/2007,52
01/11/2007,43
01/12/2007,40
01/01/2008,50
01/02/2008,44
01/03/2008,44
01/04/2008,41
01/05/2008,38
01/06/2008,36
01/07/2008,41
01/08/2008,39
01/09/2008,39
01/10/2008,44
01/11/2008,53
01/12/2008,54
01/01/2009,63
01/02/2009,59
01/03/2009,58
01/04/2009,57
01/05/2009,57
01/06/2009,53
01/07/2009,57
01/08/2009,58
01/09/2009,55
01/10/2009,55
01/11/2009,57
01/12/2009,58
01/01/2010,70
01/02/2010,60
01/03/2010,60
01/04/2010,57
01/05/2010,54
01/06/2010,51
01/07/2010,60
01/08/2010,61
01/09/2010,55
01/10/2010,55
01/11/2010,57
01/12/2010,56
01/01/2011,65
01/02/2011,59
01/03/2011,55
01/04/2011,57
01/05/2011,52
01/06/2011,54
01/07/2011,57
01/08/2011,57
01/09/2011,53
01/10/2011,54
01/11/2011,58
01/12/2011,55
01/01/2012,59
01/02/2012,53
01/03/2012,53
01/04/2012,53
01/05/2012,50
01/06/2012,51
01/07/2012,57
01/08/2012,55
01/09/2012,57
01/10/2012,54
01/11/2012,56
01/12/2012,53
01/01/2013,62
01/02/2013,53
01/03/2013,55
01/04/2013,56
01/05/2013,50
01/06/2013,51
01/07/2013,56
01/08/2013,57
01/09/2013,56
01/10/2013,55
01/11/2013,52
01/12/2013,53
01/01/2014,60
01/02/2014,58
01/03/2014,55
01/04/2014,57
01/05/2014,52
01/06/2014,51
01/07/2014,53
01/08/2014,66
01/09/2014,63
01/10/2014,57
01/11/2014,54
01/12/2014,54
01/01/2015,62
01/02/2015,57
01/03/2015,58
01/04/2015,57
01/05/2015,54
01/06/2015,55
01/07/2015,58
01/08/2015,59
01/09/2015,61
01/10/2015,60
01/11/2015,58
01/12/2015,57
01/01/2016,60
01/02/2016,55
01/03/2016,58
01/04/2016,58
01/05/2016,58
01/06/2016,55
01/07/2016,57
01/08/2016,58
01/09/2016,61
01/10/2016,59
01/11/2016,57
01/12/2016,61
01/01/2017,66
01/02/2017,66
01/03/2017,65
01/04/2017,64
01/05/2017,57
01/06/2017,57
01/07/2017,64
01/08/2017,62
01/09/2017,63
01/10/2017,60
01/11/2017,61
01/12/2017,58
01/01/2018,66
01/02/2018,60
01/03/2018,65
01/04/2018,62
01/05/2018,54
01/06/2018,60
01/07/2018,62
01/08/2018,64
01/09/2018,64
01/10/2018,63
01/11/2018,64
01/12/2018,61
01/01/2019,66
01/02/2019,65
01/03/2019,65
01/04/2019,63
01/05/2019,57
01/06/2019,62
01/07/2019,65
01/08/2019,68
01/09/2019,66
01/10/2019,66
01/11/2019,63
01/12/2019,65
01/01/2020,74
01/02/2020,66
01/03/2020,63
01/04/2020,79
01/05/2020,77
01/06/2020,69
01/07/2020,74
01/08/2020,73
01/09/2020,75
01/10/2020,72
01/11/2020,63
01/12/2020,69
01/01/2021,73
01/02/2021,72
01/03/2021,71
01/04/2021,72
01/05/2021,71
01/06/2021,69
01/07/2021,71
01/08/2021,71
01/09/2021,70
01/10/2021,69
01/11/2021,63
01/12/2021,65
01/01/2022,75
01/02/2022,72
01/03/2022,73
01/04/2022,71
01/05/2022,67
01/06/2022,68
01/07/2022,74
01/08/2022,72
01/09/2022,72
01/10/2022,69
01/11/2022,67
01/12/2022,70
01/01/2023,78
01/02/2023,74
01/03/2023,74
01/04/2023,69
01/05/2023,70
01/06/2023,74
01/07/2023,79
01/08/2023,72
01/09/2023,76
01/10/2023,73
01/11/2023,68
01/12/2023,68
01/01/2024,74
01/02/2024,75
01/03/2024,75
01/04/2024,69
01/05/2024,69
01/06/2024,76
01/07/2024,73
01/08/2024,74
01/09/2024,68
01/10/2024,72
01/11/2024,67
01/12/2024,65
01/01/2025,76
01/02/2025,70
01/03/2025,73
01/04/2025,68
01/05/2025,66
01/06/2025,68
01/07/2025,80
01/08/2025,89
01/09/2025,91
01/10/2025,82
01/11/2025,83
01/12/2025,85
01/01/2026,89
01/02/2026,100
01/03/2026,93
