date,concern,forecast,lower,upper
2026-04-01,anxiety,69.68,65.09,73.68
2026-05-01,anxiety,68.1,63.57,72.78
2026-06-01,anxiety,66.54,61.73,70.94
2026-07-01,anxiety,67.82,63.46,72.1
2026-08-01,anxiety,69.93,65.61,74.5
2026-09-01,anxiety,71.55,67.19,75.8
2026-10-01,anxiety,71.38,67.04,76.25
2026-11-01,anxiety,70.14,65.61,74.38
2026-12-01,anxiety,67.1,62.84,71.75
2027-01-01,anxiety,70.82,66.65,75.43
2027-02-01,anxiety,72.43,68.02,76.93
2027-03-01,anxiety,75.08,70.82,79.44
2027-04-01,anxiety,71.2,66.98,75.77
2027-05-01,anxiety,69.89,65.37,74.0
2027-06-01,anxiety,68.07,63.78,72.56
2027-07-01,anxiety,69.08,64.33,73.33
2027-08-01,anxiety,71.85,67.36,76.55
2027-09-01,anxiety,73.13,68.51,77.8
2027-10-01,anxiety,73.39,68.91,78.34
2027-11-01,anxiety,72.2,67.46,76.96
2027-12-01,anxiety,68.61,64.13,73.52
2028-01-01,anxiety,72.03,67.35,76.67
2028-02-01,anxiety,73.56,68.7,78.37
2028-03-01,anxiety,73.64,68.88,78.57
2026-04-01,depression,55.29,50.47,60.92
2026-05-01,depression,51.94,46.56,57.08
2026-06-01,depression,44.0,38.83,49.03
2026-07-01,depression,42.25,36.9,47.29
2026-08-01,depression,44.34,38.87,49.37
2026-09-01,depression,49.29,44.06,54.54
2026-10-01,depression,53.63,47.84,59.18
2026-11-01,depression,54.83,49.52,60.27
2026-12-01,depression,48.25,42.74,53.76
2027-01-01,depression,52.63,47.53,58.3
2027-02-01,depression,56.46,51.1,61.81
2027-03-01,depression,57.77,52.79,63.47
2027-04-01,depression,54.64,48.81,60.0
2027-05-01,depression,51.81,46.21,57.51
2027-06-01,depression,44.67,39.36,50.44
2027-07-01,depression,42.58,36.71,47.97
2027-08-01,depression,44.85,39.33,50.49
2027-09-01,depression,48.98,42.77,54.55
2027-10-01,depression,53.25,47.39,58.87
2027-11-01,depression,55.48,49.65,61.39
2027-12-01,depression,48.28,42.85,54.41
2028-01-01,depression,52.94,47.26,58.34
2028-02-01,depression,56.37,50.77,62.46
2028-03-01,depression,55.7,49.45,61.74
2026-04-01,insomnia,79.48,74.44,84.25
2026-05-01,insomnia,75.7,71.22,80.9
2026-06-01,insomnia,76.34,71.19,81.03
2026-07-01,insomnia,80.63,75.91,85.57
2026-08-01,insomnia,81.46,76.51,86.51
2026-09-01,insomnia,80.77,75.98,85.6
2026-10-01,insomnia,80.9,75.76,85.76
2026-11-01,insomnia,79.18,74.18,84.31
2026-12-01,insomnia,79.2,74.47,84.09
2027-01-01,insomnia,86.19,81.41,91.44
2027-02-01,insomnia,82.82,78.21,87.79
2027-03-01,insomnia,84.95,80.03,90.17
2027-04-01,insomnia,81.71,76.89,86.71
2027-05-01,insomnia,77.09,71.7,81.63
2027-06-01,insomnia,78.64,73.48,84.23
2027-07-01,insomnia,82.92,78.23,88.51
2027-08-01,insomnia,83.75,78.77,89.23
2027-09-01,insomnia,82.89,77.4,88.44
2027-10-01,insomnia,83.51,78.09,89.17
2027-11-01,insomnia,81.59,76.19,86.77
2027-12-01,insomnia,81.15,75.43,86.56
2028-01-01,insomnia,87.97,82.54,94.36
2028-02-01,insomnia,84.49,79.16,90.31
2028-03-01,insomnia,83.04,77.49,88.8
2026-04-01,loneliness,62.23,54.43,70.15
2026-05-01,loneliness,62.21,54.66,69.34
2026-06-01,loneliness,61.45,53.68,69.29
2026-07-01,loneliness,58.38,50.43,65.92
2026-08-01,loneliness,59.9,52.23,67.88
2026-09-01,loneliness,62.31,54.82,70.6
2026-10-01,loneliness,65.08,57.42,73.13
2026-11-01,loneliness,66.06,58.73,73.84
2026-12-01,loneliness,65.04,57.4,72.54
2027-01-01,loneliness,64.46,57.04,71.69
2027-02-01,loneliness,68.67,60.89,76.42
2027-03-01,loneliness,67.12,59.15,74.46
2027-04-01,loneliness,66.13,58.44,73.86
2027-05-01,loneliness,66.5,58.68,74.49
2027-06-01,loneliness,68.09,60.44,76.03
2027-07-01,loneliness,63.19,55.32,71.43
2027-08-01,loneliness,64.56,56.99,72.31
2027-09-01,loneliness,66.53,58.23,74.12
2027-10-01,loneliness,69.75,61.88,78.25
2027-11-01,loneliness,71.07,62.74,79.05
2027-12-01,loneliness,69.96,61.66,77.85
2028-01-01,loneliness,69.44,61.39,77.13
2028-02-01,loneliness,74.21,66.12,82.43
2028-03-01,loneliness,72.89,64.58,80.29
2026-04-01,stress,59.57,54.52,64.41
2026-05-01,stress,58.73,53.79,63.95
2026-06-01,stress,54.8,49.76,59.91
2026-07-01,stress,52.72,47.74,57.65
2026-08-01,stress,54.38,49.37,59.22
2026-09-01,stress,59.8,55.01,64.63
2026-10-01,stress,62.18,57.48,66.78
2026-11-01,stress,62.66,57.96,67.46
2026-12-01,stress,57.3,52.34,62.27
2027-01-01,stress,57.89,52.83,62.75
2027-02-01,stress,63.66,58.68,68.7
2027-03-01,stress,66.16,61.07,71.39
2027-04-01,stress,62.08,57.29,66.88
2027-05-01,stress,62.07,57.06,66.81
2027-06-01,stress,58.12,53.2,62.96
2027-07-01,stress,55.81,50.74,60.56
2027-08-01,stress,57.71,52.72,62.91
2027-09-01,stress,62.53,57.63,67.73
2027-10-01,stress,65.57,60.2,70.43
2027-11-01,stress,65.86,60.8,71.41
2027-12-01,stress,60.61,55.3,65.5
2028-01-01,stress,61.18,55.9,66.06
2028-02-01,stress,65.99,60.82,71.1
2028-03-01,stress,66.23,61.06,71.41
