date,anxiety,depression,insomnia,loneliness,stress
2004-01-01,26,85,51,51,55
2004-02-01,28,95,48,59,63
2004-03-01,31,100,49,61,67
2004-04-01,28,97,47,60,67
2004-05-01,28,88,44,58,60
2004-06-01,27,71,39,44,52
2004-07-01,30,67,43,45,48
2004-08-01,30,69,42,44,51
2004-09-01,32,81,41,49,60
2004-10-01,30,86,44,50,62
2004-11-01,31,88,42,57,64
2004-12-01,27,79,45,50,54
2005-01-01,30,78,53,47,51
2005-02-01,31,88,50,46,61
2005-03-01,30,90,47,51,57
2005-04-01,32,95,50,53,64
2005-05-01,29,88,44,46,56
2005-06-01,28,66,46,42,52
2005-07-01,28,64,48,38,45
2005-08-01,30,61,50,39,47
2005-09-01,31,69,47,42,53
2005-10-01,30,88,49,49,55
2005-11-01,30,85,45,50,62
2005-12-01,26,75,44,59,49
2006-01-01,31,81,47,52,48
2006-02-01,30,79,48,54,54
2006-03-01,29,85,47,56,57
2006-04-01,29,82,45,52,48
2006-05-01,28,76,41,54,51
2006-06-01,25,58,38,47,43
2006-07-01,26,54,40,44,39
2006-08-01,26,56,39,42,42
2006-09-01,29,64,40,44,49
2006-10-01,28,71,45,46,52
2006-11-01,26,67,41,42,51
2006-12-01,24,57,41,43,41
2007-01-01,28,64,44,38,43
2007-02-01,26,66,42,39,47
2007-03-01,26,66,40,40,48
2007-04-01,26,62,38,39,46
2007-05-01,24,61,35,38,46
2007-06-01,24,50,35,35,40
2007-07-01,22,50,42,35,37
2007-08-01,23,47,42,35,38
2007-09-01,28,56,41,36,41
2007-10-01,27,59,52,38,49
2007-11-01,25,67,43,40,49
2007-12-01,22,52,40,38,40
2008-01-01,26,59,50,34,40
2008-02-01,27,60,44,37,44
2008-03-01,26,60,44,37,47
2008-04-01,25,61,41,34,47
2008-05-01,23,56,38,34,49
2008-06-01,23,46,36,32,43
2008-07-01,23,45,41,29,40
2008-08-01,24,44,39,31,39
2008-09-01,24,61,39,34,46
2008-10-01,25,73,44,35,47
2008-11-01,24,61,53,37,44
2008-12-01,23,57,54,36,39
2009-01-01,24,57,63,36,39
2009-02-01,23,67,59,36,45
2009-03-01,25,63,58,34,45
2009-04-01,24,60,57,37,48
2009-05-01,25,54,57,38,48
2009-06-01,23,44,53,36,39
2009-07-01,25,44,57,36,36
2009-08-01,26,45,58,39,39
2009-09-01,26,48,55,41,40
2009-10-01,27,53,55,45,42
2009-11-01,26,60,57,41,44
2009-12-01,24,49,58,41,39
2010-01-01,27,57,70,39,38
2010-02-01,27,57,60,43,42
2010-03-01,28,55,60,51,45
2010-04-01,27,56,57,45,42
2010-05-01,26,53,54,47,42
2010-06-01,25,45,51,40,38
2010-07-01,27,45,60,41,39
2010-08-01,27,44,61,41,35
2010-09-01,28,48,55,42,41
2010-10-01,28,51,55,47,42
2010-11-01,28,52,57,46,44
2010-12-01,25,46,56,43,37
2011-01-01,28,54,65,42,39
2011-02-01,29,53,59,51,43
2011-03-01,30,54,55,46,44
2011-04-01,28,56,57,49,42
2011-05-01,29,51,52,46,43
2011-06-01,27,44,54,44,39
2011-07-01,29,42,57,41,36
2011-08-01,30,45,57,46,35
2011-09-01,30,46,53,46,40
2011-10-01,30,52,54,47,42
2011-11-01,31,52,58,47,43
2011-12-01,27,45,55,44,38
2012-01-01,33,55,59,45,38
2012-02-01,34,54,53,41,41
2012-03-01,33,52,53,43,42
2012-04-01,33,54,53,44,42
2012-05-01,31,51,50,45,40
2012-06-01,31,40,51,42,37
2012-07-01,32,45,57,41,35
2012-08-01,33,44,55,42,37
2012-09-01,38,48,57,44,41
2012-10-01,37,52,54,44,43
2012-11-01,34,52,56,45,43
2012-12-01,33,46,53,43,35
2013-01-01,35,52,62,43,35
2013-02-01,36,52,53,42,41
2013-03-01,37,52,55,42,43
2013-04-01,37,54,56,44,44
2013-05-01,36,50,50,47,40
2013-06-01,34,44,51,42,36
2013-07-01,35,44,56,40,38
2013-08-01,36,42,57,40,35
2013-09-01,37,45,56,43,40
2013-10-01,37,50,55,43,46
2013-11-01,36,51,52,45,42
2013-12-01,34,47,53,44,36
2014-01-01,40,51,60,45,38
2014-02-01,38,55,58,44,41
2014-03-01,39,55,55,47,42
2014-04-01,40,55,57,50,43
2014-05-01,38,54,52,46,41
2014-06-01,36,42,51,41,36
2014-07-01,38,42,53,42,35
2014-08-01,38,58,66,43,35
2014-09-01,39,53,63,42,41
2014-10-01,41,53,57,47,44
2014-11-01,38,54,54,47,40
2014-12-01,38,50,54,46,38
2015-01-01,40,55,62,41,37
2015-02-01,41,55,57,45,41
2015-03-01,44,64,58,46,45
2015-04-01,40,57,57,45,43
2015-05-01,42,53,54,47,41
2015-06-01,38,47,55,44,38
2015-07-01,41,45,58,42,34
2015-08-01,45,47,59,41,39
2015-09-01,46,52,61,46,41
2015-10-01,47,57,60,47,40
2015-11-01,45,57,58,48,43
2015-12-01,43,54,57,45,38
2016-01-01,45,54,60,46,37
2016-02-01,49,58,55,44,44
2016-03-01,49,59,58,43,43
2016-04-01,51,60,58,45,44
2016-05-01,48,57,58,43,42
2016-06-01,43,46,55,41,38
2016-07-01,45,44,57,38,36
2016-08-01,47,47,58,38,36
2016-09-01,52,54,61,44,43
2016-10-01,51,57,59,44,43
2016-11-01,50,57,57,43,46
2016-12-01,48,54,61,43,40
2017-01-01,57,55,66,42,41
2017-02-01,52,60,66,44,44
2017-03-01,56,62,65,43,47
2017-04-01,55,61,64,45,46
2017-05-01,52,57,57,43,43
2017-06-01,49,49,57,40,39
2017-07-01,51,48,64,39,37
2017-08-01,53,55,62,40,38
2017-09-01,54,54,63,42,45
2017-10-01,60,61,60,45,46
2017-11-01,57,64,61,47,48
2017-12-01,52,56,58,43,41
2018-01-01,56,61,66,48,41
2018-02-01,58,62,60,50,45
2018-03-01,58,65,65,46,47
2018-04-01,55,62,62,45,45
2018-05-01,54,57,54,46,44
2018-06-01,54,57,60,42,38
2018-07-01,56,51,62,41,37
2018-08-01,60,52,64,44,38
2018-09-01,65,55,64,45,45
2018-10-01,60,62,63,46,46
2018-11-01,60,64,64,47,46
2018-12-01,57,57,61,46,42
2019-01-01,61,61,66,45,41
2019-02-01,62,66,65,50,45
2019-03-01,70,61,65,45,47
2019-04-01,62,59,63,46,44
2019-05-01,56,59,57,44,43
2019-06-01,58,54,62,41,41
2019-07-01,58,51,65,38,39
2019-08-01,64,51,68,41,41
2019-09-01,62,59,66,43,46
2019-10-01,63,62,66,46,48
2019-11-01,61,61,63,47,47
2019-12-01,58,55,65,45,41
2020-01-01,64,55,74,43,45
2020-02-01,62,63,66,55,45
2020-03-01,61,59,63,66,43
2020-04-01,63,65,79,65,43
2020-05-01,61,58,77,59,42
2020-06-01,61,58,69,51,43
2020-07-01,68,53,74,47,42
2020-08-01,68,53,73,44,41
2020-09-01,69,58,75,46,51
2020-10-01,64,54,72,48,48
2020-11-01,61,52,63,43,46
2020-12-01,61,50,69,42,42
2021-01-01,67,54,73,41,44
2021-02-01,65,54,72,42,44
2021-03-01,67,54,71,41,48
2021-04-01,65,51,72,40,47
2021-05-01,67,53,71,40,46
2021-06-01,64,49,69,36,44
2021-07-01,62,45,71,36,42
2021-08-01,65,47,71,36,40
2021-09-01,69,50,70,34,44
2021-10-01,66,50,69,37,45
2021-11-01,67,51,63,36,45
2021-12-01,58,47,65,37,41
2022-01-01,63,55,75,39,44
2022-02-01,69,56,72,46,52
2022-03-01,69,59,73,44,57
2022-04-01,67,61,71,47,50
2022-05-01,63,56,67,47,49
2022-06-01,61,49,68,41,46
2022-07-01,60,45,74,41,41
2022-08-01,60,46,72,41,42
2022-09-01,62,50,72,42,46
2022-10-01,61,53,69,47,47
2022-11-01,61,52,67,45,47
2022-12-01,59,48,70,43,45
2023-01-01,62,52,78,46,46
2023-02-01,66,56,74,47,52
2023-03-01,66,55,74,43,52
2023-04-01,63,51,69,42,47
2023-05-01,61,49,70,48,47
2023-06-01,57,44,74,82,43
2023-07-01,58,41,79,53,39
